UCMerced Buildings Dataset - Filter Performance Report
=====================================================

Configuration:
  Threads: 16
  Input folder: C:\Users\DELL\Downloads\UCMerced_LandUse\UCMerced_LandUse\Images\buildings
  Total images processed: 100

Filter Performance Summary:
===========================

Edge Detection:
  Images processed: 100
  Total time: 216.00 ms
  Average time: 2.16 ms
  Min time: 2.00 ms
  Max time: 3.00 ms

Gaussian Blur:
  Images processed: 100
  Total time: 2259.00 ms
  Average time: 22.59 ms
  Min time: 17.00 ms
  Max time: 54.00 ms

Laplacian:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 6.00 ms
  Max time: 15.00 ms

Sharpening:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 7.00 ms
  Max time: 14.00 ms

Sobel Magnitude:
  Images processed: 100
  Total time: 1458.00 ms
  Average time: 14.58 ms
  Min time: 11.00 ms
  Max time: 24.00 ms

Sobel X:
  Images processed: 100
  Total time: 1484.00 ms
  Average time: 14.84 ms
  Min time: 11.00 ms
  Max time: 23.00 ms

Sobel Y:
  Images processed: 100
  Total time: 210.00 ms
  Average time: 2.10 ms
  Min time: 2.00 ms
  Max time: 5.00 ms


Detailed Results:
=================

Image Name                    Filter              Time (ms)      Status    
buildings09                   Sobel Y             2.00           OK        
buildings10                   Sobel Y             2.00           OK        
buildings11                   Sobel Y             2.00           OK        
buildings12                   Sobel Y             2.00           OK        
buildings13                   Sobel Y             2.00           OK        
buildings14                   Sobel Y             2.00           OK        
buildings15                   Sobel Y             2.00           OK        
buildings16                   Sobel Y             2.00           OK        
buildings17                   Sobel Y             2.00           OK        
buildings18                   Sobel Y             2.00           OK        
buildings19                   Sobel Y             2.00           OK        
buildings20                   Sobel Y             2.00           OK        
buildings21                   Sobel Y             2.00           OK        
buildings22                   Sobel Y             2.00           OK        
buildings23                   Sobel Y             2.00           OK        
buildings24                   Sobel Y             2.00           OK        
buildings25                   Sobel Y             2.00           OK        
buildings26                   Sobel Y             2.00           OK        
buildings27                   Sobel Y             2.00           OK        
buildings28                   Sobel Y             2.00           OK        
buildings29                   Sobel Y             2.00           OK        
buildings30                   Sobel Y             2.00           OK        
buildings31                   Sobel Y             2.00           OK        
buildings32                   Sobel Y             2.00           OK        
buildings33                   Sobel Y             2.00           OK        
buildings34                   Sobel Y             2.00           OK        
buildings35                   Sobel Y             2.00           OK        
buildings36                   Sobel Y             2.00           OK        
buildings37                   Sobel Y             2.00           OK        
buildings38                   Sobel Y             2.00           OK        
