ImageName,FilterName,VariantName,ProcessingTime_ms,Success
buildings41,Gaussian Blur,Raw Array,22.000,true
buildings42,Gaussian Blur,Raw Array,22.000,true
buildings43,Gaussian Blur,Raw Array,23.000,true
buildings44,Gaussian Blur,Raw Array,28.000,true
buildings45,Gaussian Blur,Raw Array,30.000,true
buildings46,Gaussian Blur,Raw Array,34.000,true
buildings47,Gaussian Blur,Raw Array,28.000,true
buildings48,Gaussian Blur,Raw Array,28.000,true
buildings49,Gaussian Blur,Raw Array,34.000,true
buildings50,Gaussian Blur,Raw Array,21.000,true
buildings51,Gaussian Blur,Raw Array,22.000,true
buildings52,Gaussian Blur,Raw Array,21.000,true
buildings53,Gaussian Blur,Raw Array,25.000,true
buildings54,Gaussian Blur,Raw Array,23.000,true
buildings55,Gaussian Blur,Raw Array,20.000,true
buildings56,Gaussian Blur,Raw Array,21.000,true
buildings57,Gaussian Blur,Raw Array,21.000,true
buildings58,Gaussian Blur,Raw Array,22.000,true
buildings59,Gaussian Blur,Raw Array,21.000,true
buildings60,Gaussian Blur,Raw Array,21.000,true
buildings61,Gaussian Blur,Raw Array,21.000,true
buildings62,Gaussian Blur,Raw Array,21.000,true
buildings63,Gaussian Blur,Raw Array,21.000,true
buildings64,Gaussian Blur,Raw Array,19.000,true
buildings65,Gaussian Blur,Raw Array,20.000,true
buildings66,Gaussian Blur,Raw Array,20.000,true
buildings67,Gaussian Blur,Raw Array,21.000,true
buildings68,Gaussian Blur,Raw Array,19.000,true
buildings69,Gaussian Blur,Raw Array,21.000,true
buildings70,Gaussian Blur,Raw Array,21.000,true
buildings71,Gaussian Blur,Raw Array,22.000,true
buildings72,Gaussian Blur,Raw Array,22.000,true
buildings73,Gaussian Blur,Raw Array,23.000,true
buildings74,Gaussian Blur,Raw Array,21.000,true
buildings75,Gaussian Blur,Raw Array,21.000,true
buildings76,Gaussian Blur,Raw Array,20.000,true
buildings77,Gaussian Blur,Raw Array,19.000,true
buildings78,Gaussian Blur,Raw Array,20.000,true
buildings79,Gaussian Blur,Raw Array,21.000,true
buildings80,Gaussian Blur,Raw Array,22.000,true
buildings81,Gaussian Blur,Raw Array,21.000,true
buildings82,Gaussian Blur,Raw Array,21.000,true
buildings83,Gaussian Blur,Raw Array,21.000,true
buildings84,Gaussian Blur,Raw Array,21.000,true
buildings85,Gaussian Blur,Raw Array,22.000,true
buildings86,Gaussian Blur,Raw Array,21.000,true
buildings87,Gaussian Blur,Raw Array,22.000,true
buildings88,Gaussian Blur,Raw Array,21.000,true
buildings89,Gaussian Blur,Raw Array,24.000,true
buildings90,Gaussian Blur,Raw Array,21.000,true
buildings91,Gaussian Blur,Raw Array,22.000,true
buildings92,Gaussian Blur,Raw Array,24.000,true
buildings93,Gaussian Blur,Raw Array,29.000,true
buildings94,Gaussian Blur,Raw Array,29.000,true
buildings95,Gaussian Blur,Raw Array,33.000,true
buildings96,Gaussian Blur,Raw Array,24.000,true
buildings97,Gaussian Blur,Raw Array,25.000,true
buildings98,Gaussian Blur,Raw Array,27.000,true
buildings99,Gaussian Blur,Raw Array,22.000,true
buildings00,Sobel X,Standard,4.000,true
buildings01,Sobel X,Standard,2.000,true
buildings02,Sobel X,Standard,2.000,true
buildings03,Sobel X,Standard,2.000,true
buildings04,Sobel X,Standard,2.000,true
buildings05,Sobel X,Standard,2.000,true
buildings06,Sobel X,Standard,2.000,true
buildings07,Sobel X,Standard,2.000,true
buildings08,Sobel X,Standard,2.000,true
buildings09,Sobel X,Standard,2.000,true
buildings10,Sobel X,Standard,2.000,true
buildings11,Sobel X,Standard,2.000,true
buildings12,Sobel X,Standard,2.000,true
buildings13,Sobel X,Standard,2.000,true
buildings14,Sobel X,Standard,2.000,true
buildings15,Sobel X,Standard,2.000,true
buildings16,Sobel X,Standard,2.000,true
buildings17,Sobel X,Standard,2.000,true
buildings18,Sobel X,Standard,2.000,true
buildings19,Sobel X,Standard,2.000,true
buildings20,Sobel X,Standard,2.000,true
buildings21,Sobel X,Standard,2.000,true
buildings22,Sobel X,Standard,2.000,true
buildings23,Sobel X,Standard,2.000,true
buildings24,Sobel X,Standard,2.000,true
buildings25,Sobel X,Standard,2.000,true
buildings26,Sobel X,Standard,2.000,true
buildings27,Sobel X,Standard,3.000,true
buildings28,Sobel X,Standard,2.000,true
buildings29,Sobel X,Standard,2.000,true
buildings30,Sobel X,Standard,2.000,true
buildings31,Sobel X,Standard,2.000,true
buildings32,Sobel X,Standard,2.000,true
buildings33,Sobel X,Standard,2.000,true
buildings34,Sobel X,Standard,2.000,true
buildings35,Sobel X,Standard,2.000,true
buildings36,Sobel X,Standard,2.000,true
buildings37,Sobel X,Standard,2.000,true
buildings38,Sobel X,Standard,2.000,true
buildings39,Sobel X,Standard,2.000,true
buildings40,Sobel X,Standard,2.000,true
buildings41,Sobel X,Standard,2.000,true
buildings42,Sobel X,Standard,2.000,true
buildings43,Sobel X,Standard,2.000,true
buildings44,Sobel X,Standard,2.000,true
buildings45,Sobel X,Standard,2.000,true
buildings46,Sobel X,Standard,2.000,true
buildings47,Sobel X,Standard,2.000,true
buildings48,Sobel X,Standard,2.000,true
buildings49,Sobel X,Standard,2.000,true
buildings50,Sobel X,Standard,2.000,true
buildings51,Sobel X,Standard,2.000,true
buildings52,Sobel X,Standard,2.000,true
buildings53,Sobel X,Standard,2.000,true
buildings54,Sobel X,Standard,2.000,true
buildings55,Sobel X,Standard,2.000,true
buildings56,Sobel X,Standard,2.000,true
buildings57,Sobel X,Standard,2.000,true
buildings58,Sobel X,Standard,2.000,true
buildings59,Sobel X,Standard,2.000,true
buildings60,Sobel X,Standard,2.000,true
buildings61,Sobel X,Standard,2.000,true
buildings62,Sobel X,Standard,2.000,true
buildings63,Sobel X,Standard,2.000,true
buildings64,Sobel X,Standard,2.000,true
buildings65,Sobel X,Standard,2.000,true
buildings66,Sobel X,Standard,2.000,true
buildings67,Sobel X,Standard,2.000,true
buildings68,Sobel X,Standard,2.000,true
buildings69,Sobel X,Standard,2.000,true
buildings70,Sobel X,Standard,2.000,true
buildings71,Sobel X,Standard,2.000,true
buildings72,Sobel X,Standard,2.000,true
buildings73,Sobel X,Standard,2.000,true
buildings74,Sobel X,Standard,2.000,true
buildings75,Sobel X,Standard,2.000,true
buildings76,Sobel X,Standard,2.000,true
buildings77,Sobel X,Standard,2.000,true
buildings78,Sobel X,Standard,3.000,true
buildings79,Sobel X,Standard,3.000,true
buildings80,Sobel X,Standard,2.000,true
buildings81,Sobel X,Standard,2.000,true
buildings82,Sobel X,Standard,2.000,true
buildings83,Sobel X,Standard,2.000,true
buildings84,Sobel X,Standard,2.000,true
buildings85,Sobel X,Standard,2.000,true
buildings86,Sobel X,Standard,2.000,true
buildings87,Sobel X,Standard,2.000,true
buildings88,Sobel X,Standard,2.000,true
buildings89,Sobel X,Standard,2.000,true
buildings90,Sobel X,Standard,2.000,true
buildings91,Sobel X,Standard,2.000,true
buildings92,Sobel X,Standard,2.000,true
buildings93,Sobel X,Standard,2.000,true
buildings94,Sobel X,Standard,2.000,true
buildings95,Sobel X,Standard,2.000,true
buildings96,Sobel X,Standard,2.000,true
buildings97,Sobel X,Standard,2.000,true
buildings98,Sobel X,Standard,2.000,true
buildings99,Sobel X,Standard,2.000,true
buildings00,Sobel X,Balanced,1.000,true
buildings01,Sobel X,Balanced,1.000,true
buildings02,Sobel X,Balanced,1.000,true
buildings03,Sobel X,Balanced,1.000,true
buildings04,Sobel X,Balanced,1.000,true
buildings05,Sobel X,Balanced,1.000,true
buildings06,Sobel X,Balanced,1.000,true
buildings07,Sobel X,Balanced,1.000,true
buildings08,Sobel X,Balanced,1.000,true
buildings09,Sobel X,Balanced,1.000,true
buildings10,Sobel X,Balanced,1.000,true
buildings11,Sobel X,Balanced,1.000,true
buildings12,Sobel X,Balanced,1.000,true
buildings13,Sobel X,Balanced,1.000,true
buildings14,Sobel X,Balanced,1.000,true
buildings15,Sobel X,Balanced,1.000,true
buildings16,Sobel X,Balanced,1.000,true
buildings17,Sobel X,Balanced,1.000,true
buildings18,Sobel X,Balanced,1.000,true
buildings19,Sobel X,Balanced,1.000,true
buildings20,Sobel X,Balanced,1.000,true
buildings21,Sobel X,Balanced,1.000,true
buildings22,Sobel X,Balanced,1.000,true
buildings23,Sobel X,Balanced,1.000,true
buildings24,Sobel X,Balanced,1.000,true
buildings25,Sobel X,Balanced,1.000,true
buildings26,Sobel X,Balanced,1.000,true
buildings27,Sobel X,Balanced,1.000,true
buildings28,Sobel X,Balanced,2.000,true
buildings29,Sobel X,Balanced,1.000,true
buildings30,Sobel X,Balanced,1.000,true
buildings31,Sobel X,Balanced,1.000,true
buildings32,Sobel X,Balanced,1.000,true
buildings33,Sobel X,Balanced,1.000,true
buildings34,Sobel X,Balanced,1.000,true
buildings35,Sobel X,Balanced,2.000,true
buildings36,Sobel X,Balanced,1.000,true
buildings37,Sobel X,Balanced,1.000,true
buildings38,Sobel X,Balanced,1.000,true
buildings39,Sobel X,Balanced,1.000,true
buildings40,Sobel X,Balanced,1.000,true
buildings41,Sobel X,Balanced,1.000,true
buildings42,Sobel X,Balanced,1.000,true
buildings43,Sobel X,Balanced,1.000,true
buildings44,Sobel X,Balanced,1.000,true
buildings45,Sobel X,Balanced,1.000,true
buildings46,Sobel X,Balanced,1.000,true
buildings47,Sobel X,Balanced,1.000,true
buildings48,Sobel X,Balanced,1.000,true
buildings49,Sobel X,Balanced,1.000,true
buildings50,Sobel X,Balanced,1.000,true
buildings51,Sobel X,Balanced,1.000,true
buildings52,Sobel X,Balanced,1.000,true
buildings53,Sobel X,Balanced,1.000,true
buildings54,Sobel X,Balanced,1.000,true
buildings55,Sobel X,Balanced,1.000,true
buildings56,Sobel X,Balanced,1.000,true
buildings57,Sobel X,Balanced,1.000,true
buildings58,Sobel X,Balanced,1.000,true
buildings59,Sobel X,Balanced,1.000,true
buildings60,Sobel X,Balanced,1.000,true
buildings61,Sobel X,Balanced,1.000,true
buildings62,Sobel X,Balanced,1.000,true
buildings63,Sobel X,Balanced,1.000,true
buildings64,Sobel X,Balanced,1.000,true
buildings65,Sobel X,Balanced,1.000,true
buildings66,Sobel X,Balanced,1.000,true
buildings67,Sobel X,Balanced,1.000,true
